cn,name,position,playerScore,generations,total
土卫六氮气,Nitrogen from Titan,2.323974082073434,88.23758099352052,8.017278617710582,463
树,Trees,2.2678185745140387,85.8768898488121,8.211663066954644,463
病毒,Virus,2.2332613390928726,86.82505399568035,8.213822894168466,463
造云原型机,Floater Prototypes,2.3774403470715835,87.81344902386117,7.945770065075922,461
量子通信,Quantum Communications,2.366013071895425,88.63398692810458,8.117647058823529,459
木星浮动站,Jupiter Floating Station,2.2265795206971677,89.74291938997821,8.058823529411764,459
高科技实验室,Hi-Tech Lab,2.413566739606127,84.78336980306345,8.113785557986871,457
伽利略中转站,Galilean Waystation,2.4649122807017543,87.05701754385964,8.094298245614034,456
Great Dam:promo,Great Dam:promo,2.4166666666666665,82.00219298245614,7.918859649122807,456
穹顶舱城市,Cupola City,2.4823788546255505,81.05726872246696,8.36784140969163,454
通用法庭,Omnicourt,2.2847682119205297,88.39293598233995,8.20971302428256,453
金星总督,Venus Governor,2.384105960264901,85.70860927152317,8.024282560706402,453
定居点,Pioneer Settlement,2.46119733924612,83.58536585365853,7.844789356984479,451
冰月殖民地,Ice Moon Colony,2.371111111111111,83.76444444444445,7.757777777777778,450
星际贸易,Interplanetary Trade,2.402222222222222,84.92,8.264444444444445,450
小动物,Small Animals,2.3377777777777777,86.23777777777778,8.506666666666666,450
捕食者,Predators,2.451111111111111,84.88666666666667,8.38,450
巨冰行星,Giant Ice Asteroid,2.1495535714285716,81.44866071428571,7.883928571428571,448
重税,Heavy Taxation,2.50561797752809,81.93258426966293,7.885393258426967,445
贿赂委员会,Bribed Committee,2.4988662131519273,80.33106575963718,8.444444444444445,441
帚石楠,Heather,2.4009111617312073,82.18223234624146,8.195899772209566,439
日冕提取器,Corona Extractor,2.2752293577981653,88.08715596330275,8.01834862385321,436
伊什塔尔矿业,Ishtar Mining,2.414746543778802,84.67972350230414,8.126728110599078,434
苔藓,Moss,2.392609699769053,81.73210161662817,8.187066974595844,433
结冰行星,Ice Asteroid,2.3125,80.55787037037037,7.986111111111111,432
彗星,Comet,2.3465116279069766,79.58604651162791,7.909302325581395,430
巨型日光遮蔽器,Giant Solar Shade,2.277389277389277,85.38694638694639,8.048951048951048,429
输入高级温室气体,Import of Advanced GHG,2.529274004683841,79.16627634660422,8.362997658079625,427
平流层的鸟类,Stratospheric Birds,2.271662763466042,90.93208430913349,8.320843091334895,427
管制区,Restricted Area,2.3976470588235292,82.68,8.99529411764706,425
贸易特使,Trade Envoys,2.4776470588235293,84.02588235294118,8.087058823529413,425
本地的热量陷阱,Local Heat Trapping,2.308235294117647,86.54117647058824,8.465882352941177,425
地球太空梯,Earth Elevator,2.430260047281324,86.22222222222223,8.073286052009456,423
火星动物园,Martian Zoo,2.3711583924349884,87.03309692671395,7.943262411347518,423
太空港,Space Port,2.3877068557919623,86.02836879432624,8.106382978723405,423
木卫一研究前哨,Io Research Outpost,2.566666666666667,78.88095238095238,7.983333333333333,420
收购太空总署,Acquired Space Agency,2.519047619047619,78.6595238095238,7.7785714285714285,420
防护服,Corroder Suits,2.519047619047619,83.30952380952381,8.233333333333333,420
熔岩城,Lava Tube Settlement,2.447619047619048,83.02142857142857,8.459523809523809,420
漂浮物科技,Floater Technology,2.3142857142857145,87.72619047619048,8.016666666666667,420
温室气体生产细菌,GHG Producing Bacteria,2.3333333333333335,82.94484412470024,8.235011990407674,417
采矿权,Mining Rights,2.405275779376499,81.70023980815348,9.043165467625899,417
生产前哨站,Productive Outpost,2.381294964028777,86.71223021582733,7.985611510791367,417
蓄意破坏,Sabotage,2.5024038461538463,83.42067307692308,8.283653846153847,416
冻原农耕,Tundra Farming,2.4468599033816427,83.32367149758454,8.31400966183575,414
月球挖掘,Lunar Mining,2.3002421307506054,86.82082324455206,7.929782082324455,413
畜牧,Livestock,2.3825665859564165,86.4043583535109,8.617433414043584,413
富氮小行星,Nitrogen-Rich Asteroid,2.2457420924574207,85.45255474452554,8.357664233576642,411
局部遮蔽,Local Shading,2.430317848410758,82.53056234718827,8.23960880195599,409
北极的藻类植物,Arctic Algae,2.2322738386308068,83.91442542787286,8.056234718826406,409
磁屏,Magnetic Shield,2.326781326781327,87.08599508599508,8.216216216216216,407
输送水源到金星,Water to Venus,2.4207920792079207,84.07673267326733,7.967821782178218,404
轨道建造场,Orbital Construction Yard,2.631188118811881,78.84158415841584,7.97029702970297,404
发电,Power Generation,2.588089330024814,77.20099255583126,7.863523573200992,403
输出氘,Deuterium Export,2.518703241895262,82.46134663341645,8.064837905236908,401
土豆,Potatoes,2.4748743718592965,81.84422110552764,8.190954773869347,398
泰坦漂浮物起飞平台,Titan Floating Launch-pad,2.321608040201005,86.84422110552764,7.964824120603015,398
嗜中性苔藓,Nitrophilic Moss,2.395465994962217,82.96725440806046,8.256926952141058,397
开放的城市,Open City,2.3375314861460956,85.40806045340051,8.327455919395465,397
伽利略矿业,Galilean Mining,2.525252525252525,78.26010101010101,8.121212121212121,396
小行星,Small Asteroid,2.4478371501272265,82.07124681933843,7.893129770992366,393
小行星防卫系统,Asteroid Deflection System,2.4974358974358974,82.1025641025641,8.287179487179488,390
创造微生物,Designed Micro-organisms,2.416452442159383,80.66580976863753,8.23650385604113,389
木星灯,Jovian Lanterns,2.2190721649484537,91.70360824742268,8.195876288659793,388
嗜冷性细菌,Psychrophiles,2.3255208333333335,83.9609375,8.114583333333334,384
奢靡大餐,Luxury Foods,2.235602094240838,91.31675392670157,8.337696335078535,382
物理复杂性,Physics Complex,2.52755905511811,83.77165354330708,8.83989501312336,381
海豚,Ocean Sanctuary,2.1763157894736844,85.92894736842105,7.08421052631579,380
商业区,Commercial District,2.559366754617414,81.60686015831135,9.218997361477573,379
建筑行业,Building Industries,2.5277044854881265,79.01583113456465,8.562005277044856,379
中和剂工厂,Neutralizer Factory,2.253298153034301,87.4089709762533,8.08179419525066,379
共生真菌,Symbiotic Fungus,2.380952380952381,84.29100529100529,8.272486772486772,378
圆顶火山口,Domed Crater,2.3554376657824934,83.25994694960212,8.344827586206897,377
青苔,Lichen,2.3430851063829787,83.91489361702128,8.284574468085106,376
齐柏林飞艇,Zeppelins,2.4891891891891893,83.77567567567567,8.848648648648648,370
风化层蚕食者,Regolith Eaters,2.4796747967479673,78.93224932249322,8.276422764227643,369
极寒真菌,Extreme-Cold Fungus,2.4375,83.24184782608695,8.179347826086957,368
采矿区,Mining Area,2.3369565217391304,82.66032608695652,9.08695652173913,368
飞向金星的彗星,Comet for Venus,2.4562841530054644,83.42349726775956,8.010928961748634,366
受扶持的研究,Supported Research,2.3469945355191255,85.25956284153006,7.3497267759562845,366
转基因生物合约,GMO Contract,2.1616438356164385,87.6109589041096,7.219178082191781,365
月球射线,Lunar Beam,2.591780821917808,79.16438356164383,8.441095890410958,365
安保舰队,Security Fleet,2.519230769230769,81.79945054945055,9.06043956043956,364
亚硝酸盐还原菌,Nitrite Reducing Bacteria,2.392857142857143,84.95054945054945,8.590659340659341,364
生态学研究,Ecology Research,2.1267217630853996,93.22038567493112,8.085399449035812,363
采矿配额,Mining Quota,2.31767955801105,88.10773480662984,8.215469613259668,362
弗雷雅生态馆,Freyja Biodomes,2.1385041551246537,94.03047091412742,8.168975069252078,361
地下水库,Subterranean Reservoir,2.445983379501385,79.4432132963989,8.016620498614959,361
昆虫,Insects,2.188365650969529,87.11634349030471,8.074792243767313,361
富含金属的小行星,Metal-Rich Asteroid,2.403899721448468,78.02785515320335,7.696378830083566,359
地下城,Underground City,2.632311977715877,82.31197771587743,8.506963788300835,359
Restricted Area:ares,Restricted Area:ares,2.3854748603351954,82.46368715083798,7.078212290502793,358
麦克斯韦基地,Maxwell Base,2.3128491620111733,90.24301675977654,8.418994413407821,358
食品工厂,Food Factory,2.6016949152542375,81.69209039548022,8.830508474576272,354
自给自足的据点,Self-Sufficient Settlement,2.507082152974504,78.31444759206799,8.172804532577903,353
供应商,Supplier,2.538243626062323,78.76203966005666,7.9886685552407934,353
金属公司,Metals Company,2.4192634560906514,79.98016997167139,8.23512747875354,353
电力供应共同体,Power Supply Consortium,2.627840909090909,80.49147727272727,8.650568181818182,352
旋转都会,Gyropolis,2.36,86.15142857142857,8.137142857142857,350
自旋牵引陨石,Spin-Inducing Asteroid,2.315186246418338,83.65329512893983,7.885386819484241,349
改造合同,Terraforming Contract,2.4224137931034484,84.316091954023,8.339080459770114,348
捐赠,Donation,2.3994252873563218,81.48275862068965,7.82183908045977,348
含水层涡轮机,Aquifer Turbines,2.468390804597701,77.48563218390805,7.836206896551724,348
星核开采,Starcore Mining,2.3265895953757227,86.23410404624278,7.315028901734104,346
钍行星射线,Beam From A Thorium Asteroid,2.446376811594203,83.87536231884059,8.501449275362319,345
宣称领土,Land Claim,2.443148688046647,80.54810495626822,8.274052478134111,343
悬浮艇,Dirigibles,2.456973293768546,83.72403560830861,8.178041543026707,337
火星高铁,Martian Rails,2.5327380952380953,81.86904761904762,8.919642857142858,336
太空镜,Space Mirrors,2.5880597014925373,81.33731343283583,8.782089552238807,335
采矿作业,Mining Operations,2.535928143712575,78.33832335329342,7.952095808383233,334
空袭,Air Raid,2.286144578313253,89.32831325301204,8.021084337349398,332
食草动物,Herbivores,2.2530487804878048,88.38414634146342,8.423780487804878,328
星际联邦,Interplanetary Alliance,2.2713414634146343,87.9359756097561,7.2682926829268295,328
生物实验室,Biolab,2.5521472392638036,76.41104294478528,7.95398773006135,326
缓步微生物,Tardigrades,2.4923076923076923,84.37846153846154,8.458461538461538,325
金属陨石,Metallic Asteroid,2.3230769230769233,82.73230769230769,6.969230769230769,325
自适应地衣,Adapted Lichen,2.481366459627329,80.53105590062111,8.509316770186336,322
首都,Capital,2.391304347826087,83.2639751552795,9.186335403726709,322
工业中心,Industrial Center,2.5093167701863353,78.27639751552795,9.083850931677018,322
野生生物穹顶,Wildlife Dome,2.19375,84.725,7.1,320
Mining Rights:ares,Mining Rights:ares,2.315625,83.715625,7.05,320
土壤工厂,Soil Factory,2.366771159874608,82.62382445141066,8.586206896551724,319
大型含水层,Great Aquifer,2.2861635220125787,78.72012578616352,7.512578616352202,318
硫磺出口贸易,Sulphur Exports,2.324921135646688,85.89905362776025,8.151419558359622,317
输送氢气到金星,Hydrogen to Venus,2.2278481012658227,89.25,8.04746835443038,316
露天矿场,Strip Mine,2.56687898089172,79.04777070063695,8.42356687898089,314
拂晓陨落,Fall of Sunrise,2.3774193548387097,81.97419354838709,7.083870967741936,310
肥料工厂,Bio-Fertilizer Facility,2.2806451612903227,84.3,6.958064516129032,310
垃圾密封,Dust Seals,2.42258064516129,82.86129032258064,8.619354838709677,310
都市分解者,Urban Decomposers,2.313915857605178,88.7799352750809,8.01294498381877,309
轨道反射镜,Orbital Reflectors,2.3754045307443366,83.67313915857605,8.029126213592233,309
处理泰坦空气,Titan Air-scrapping,2.533980582524272,86.84789644012945,8.288025889967637,309
木星远征,Jovian Expedition,2.284789644012945,89.73139158576052,7.249190938511327,309
磁力区域圆顶,Magnetic Field Dome,2.4805194805194803,83.10714285714286,8.717532467532468,308
莫霍湖,Mohole Lake,2.24025974025974,83.8961038961039,7.974025974025974,308
陨石坑清洁,Crash Site Cleanup,2.3908794788273617,85.05211726384364,7.915309446254072,307
热带度假胜地,Tropical Resort,2.547231270358306,83.95765472312704,8.775244299674267,307
大气收藏家,Atmo Collectors,2.3300653594771243,83.65032679738562,7.908496732026144,306
生态保护区,Ecological Zone,2.1081967213114754,87.00983606557377,9.081967213114755,305
能量开发,Energy Tapping,2.5742574257425743,78.40924092409242,8.481848184818482,303
矿业探险,Mining Expedition,2.3696369636963697,81.96699669966996,8.422442244224422,303
火星工业,Martian Industries,2.5247524752475248,77.04290429042905,8.036303630363037,303
自然保护区,Natural Preserve,2.390728476821192,82.28145695364239,8.92384105960265,302
电力基础设置,Power Infrastructure,2.6633333333333336,81.71333333333334,8.433333333333334,300
公司据点,Corporate Stronghold,2.5384615384615383,78.04682274247492,8.501672240802675,299
贷款,Loan,2.5738255033557045,79.48993288590604,7.8624161073825505,298
垃圾焚烧站,Waste Incinerator,2.2195945945945947,86.14527027027027,7.131756756756757,296
奶牛,Cow,2.2440677966101696,84.25084745762712,7.338983050847458,295
姊妹星球赞助,Sister Planet Sponsors,2.3661016949152542,84.55593220338983,7.16271186440678,295
操控市场,Market Manipulation,2.4,84.0,7.830508474576271,295
嗜热菌,Thermophiles,2.4081632653061225,85.76190476190476,7.962585034013605,294
深海热泉细菌,Hydrothermal Vent Archaea,2.240549828178694,84.02061855670104,7.134020618556701,291
海洋城市,Ocean City,2.203448275862069,86.56896551724138,7.096551724137931,290
事件分析,Event Analysts,2.422145328719723,84.29065743944636,7.311418685121107,289
古细菌类,ArchaeBacteria,2.449826989619377,79.78546712802768,8.346020761245676,289
金星植物,Venusian Plants,2.1909722222222223,92.73611111111111,8.152777777777779,288
实验林场,Experimental Forest,2.25,78.3125,7.503472222222222,288
零下咸鱼,Sub-zero Salt Fish,2.3310104529616726,86.71777003484321,8.024390243902438,287
航空公司,Airliners,2.431578947368421,87.16842105263157,8.136842105263158,285
巨大断崖,Great Escarpment Consortium,2.3614035087719296,81.94385964912281,8.817543859649122,285
核爆辐射区,Nuclear Zone,2.2120141342756185,83.12014134275618,8.809187279151944,283
难民营,Refugee Camp,2.354609929078014,88.09219858156028,8.23758865248227,282
人工降雨,Cloud Seeding,2.4768683274021353,81.5017793594306,8.476868327402135,281
Ecological Zone:ares,Ecological Zone:ares,2.064516129032258,88.08602150537635,7.014336917562724,279
空投补给,Supply Drop,2.303249097472924,80.65342960288808,7.671480144404332,277
太阳能农场,Solar Farm,2.3659420289855073,82.98550724637681,7.032608695652174,276
